,0,1,2,3,4,5,6
62,2.2223e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
63,3.3333999999999997e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
64,4.4444999999999995e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
65,5.5556e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
66,6.666699999999999e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
67,7.7778e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
68,8.8889e-06,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
69,1e-05,0.06666699999999999,1111100000000000.0,1.0,0.1,0.0,1.0
70,1e-10,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
71,1.1112e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
72,2.2223e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
73,3.3333999999999997e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
74,4.4444999999999995e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
75,5.5556e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
76,6.666699999999999e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
77,7.7778e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
78,8.8889e-06,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
79,1e-05,0.0,2222200000000000.0,1.0,0.1,0.0,1.0
80,1e-10,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
81,1.1112e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
82,2.2223e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
83,3.3333999999999997e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
84,4.4444999999999995e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
85,5.5556e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
86,6.666699999999999e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
87,7.7778e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
88,8.8889e-06,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
89,1e-05,0.033333,2222200000000000.0,1.0,0.1,0.0,1.0
90,1e-10,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
91,1.1112e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
92,2.2223e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
93,3.3333999999999997e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
94,4.4444999999999995e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
95,5.5556e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
96,6.666699999999999e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
97,7.7778e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
98,8.8889e-06,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
99,1e-05,0.06666699999999999,2222200000000000.0,1.0,0.1,0.0,1.0
100,1e-10,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
101,1.1112e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
102,2.2223e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
103,3.3333999999999997e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
104,4.4444999999999995e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
105,5.5556e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
106,6.666699999999999e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
107,7.7778e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
108,8.8889e-06,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
109,1e-05,0.0,3333300000000000.0,1.0,0.1,0.0,1.0
110,1e-10,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
111,1.1112e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
112,2.2223e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
113,3.3333999999999997e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
114,4.4444999999999995e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
115,5.5556e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
116,6.666699999999999e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
117,7.7778e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
118,8.8889e-06,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
119,1e-05,0.033333,3333300000000000.0,1.0,0.1,0.0,1.0
120,1e-10,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
121,1.1112e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
122,2.2223e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
123,3.3333999999999997e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
124,4.4444999999999995e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
125,5.5556e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
126,6.666699999999999e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
127,7.7778e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
128,8.8889e-06,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
129,1e-05,0.06666699999999999,3333300000000000.0,1.0,0.1,0.0,1.0
130,1e-10,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
131,1.1112e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
132,2.2223e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
133,3.3333999999999997e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
134,4.4444999999999995e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
135,5.5556e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
136,6.666699999999999e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
137,7.7778e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
138,8.8889e-06,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
139,1e-05,0.0,4444400000000000.0,1.0,0.1,0.0,1.0
140,1e-10,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
141,1.1112e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
142,2.2223e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
143,3.3333999999999997e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
144,4.4444999999999995e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
145,5.5556e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
146,6.666699999999999e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
147,7.7778e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
148,8.8889e-06,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
149,1e-05,0.033333,4444400000000000.0,1.0,0.1,0.0,1.0
150,1e-10,0.06666699999999999,4444400000000000.0,1.0,0.1,0.0,1.0
151,1.1112e-06,0.06666699999999999,4444400000000000.0,1.0,0.1,0.0,1.0
152,2.2223e-06,0.06666699999999999,4444400000000000.0,1.0,0.1,0.0,1.0
